rowid,toi,toipfx,tid,ctoi_alias,pl_pnum,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
508,144.01,144,261136679,261136679,1,CP,05h37m11.83s,84.29928,-80d27m52.57s,-80.464604,311.187,1048.84,2458325.505,6.267726,2.934834,289.679352,1.72231,253.454041,1017.64093,5.1054,18.2702,5950,4.438,1,9/5/2018 18:34,12/17/2019 10:00
509,1440.01,1440,233617847,233617847,1,,18h55m10.69s,283.794561,+64d31m52.93s,64.53137,4.762,6.82,2458683.965,15.516857,5.857807,924.879883,3.080011,67.393448,730.758972,9.601,226.7696,5780,4.438,1,11/14/2019 17:07,8/15/2020 12:00
510,1441.01,1441,233951353,233951353,1,,20h21m39.1s,305.412906,+58d08m26.98s,58.140828,-24.562,-83.286,2458695.414,22.095791,5.573126,485.634644,2.780422,66.805244,729.159241,9.48477,141.133,5885,4.27782,1.24225,11/14/2019 17:07,12/17/2019 10:00
511,1442.01,1442,235683377,235683377,1,,19h09m10.1s,287.292101,+74d10m27.39s,74.174276,82.064,462.813,2458683.453,0.409056,0.67653,1270.765869,1.109103,207.032639,967.452026,12.4934,41.1659,3328,4.91612,0.308799,11/14/2019 17:07,6/18/2020 12:00
512,1443.01,1443,237232044,237232044,1,,19h49m35.68s,297.398678,+76d08m21.04s,76.139178,-88.066,21.781,2458693.26,23.5352,4.729,800,2.88168,139.335999,957,9.9377,85.8034,5236,4.63898,0.748579,11/14/2019 17:07,1/17/2020 10:00
513,1444.01,1444,258514800,258514800,1,,20h21m53.98s,305.474925,+70d56m37.34s,70.943705,46.402,-20.689,2458711.37,0.470242,1.286046,190.805786,1.280972,5029.053223,2147.787598,10.1522,125.463,5466,4.48625,0.92499,11/14/2019 17:07,5/9/2020 12:00
514,1445.01,1445,259172391,259172391,1,,19h31m04.26s,292.76774,+71d29m50.49s,71.497358,4.791,-6.731,2458687.587,9.812407,4.642612,992.089661,3.782356,168.3927,918.756775,10.6074,215.246,6240,4.46607,1.06422,11/14/2019 17:07,12/17/2019 10:00
515,1445.02,1445,259172391,259172391,2,,19h31m04.26s,292.76774,+71d29m50.49s,71.497358,4.791,-6.731,2458683.521,4.784274,3.114722,489.269498,2.46443,438.802694,1167.312325,10.6074,215.246,6240,4.46607,1.06422,7/16/2020 4:56,7/18/2020 12:00
516,1446.01,1446,294471966,294471966,1,,20h08m00.35s,302.001457,+51d21m42.47s,51.361796,9.093,-25.93,2458689.366,6.31719,2.410419,681.785767,2.224311,108.319229,822.803528,10.7502,133.863,5180,4.54308,0.83031,11/14/2019 17:07,6/18/2020 12:00
517,1447.01,1447,298073824,298073824,1,,13h25m20.84s,201.336817,+75d58m57.77s,75.982713,-7.486,-1.625,2458684.297,1.229303,4.474106,106.703484,4.43231,10374.4668,2574.015869,8.1033,309.2709,6906,4.438,4.12041,11/14/2019 17:07,3/25/2020 12:00
518,1448.01,1448,343628284,343628284,1,,21h05m17.76s,316.324003,+57d46m15.94s,57.771095,-15.721,-64.779,2458713.334,8.113675,2.345935,7360.998535,3.790708,5.348608,387.86441,13.1717,73.3345,3391,4.84373,0.381586,11/14/2019 17:07,12/17/2019 10:00
519,1449.01,1449,356158613,356158613,1,,20h02m50.08s,300.708664,+39d40m06.14s,39.668371,146.31,51.616,2458688.304,24.71039,2.644476,2218.672852,4.756218,18.781017,530.945007,10.745,56.3228,5780,4.64751,0.604385,11/14/2019 17:07,6/18/2020 12:00
520,1449.02,1449,356158613,356158613,2,,20h02m50.08s,300.708664,+39d40m06.14s,39.668371,146.31,51.616,2458683.587,2.3689,1.851905,696.776001,1.62458,428.051788,1160.095703,10.745,56.3228,5780,4.64751,0.604385,11/14/2019 17:07,6/18/2020 12:00
521,145.01,145,265612438,265612438,1,,22h12m41.93s,333.174716,-55d58m43.69s,-55.978803,-5.816,-4.917,2458327.05,5.12944,4.832,3376.100098,10.357,502.843994,1319,11.6789,438.421,5430.700195,4.4,1.62,9/5/2018 18:35,12/17/2019 10:00
522,1450.01,1450,377293776,377293776,1,,19h07m24.98s,286.854063,+59d05m11.85s,59.086625,69.923,160.881,2458685.345,2.043923,0.894219,461.97287,1.033222,44.949368,660.390259,10.0306,22.4467,3407,4.7606,0.473603,11/14/2019 17:07,7/9/2020 12:00
523,1451.01,1451,417931607,417931607,1,,12h26m05.83s,186.524282,+61d15m32.14s,61.258929,-5.716,-26.87,2458694.307,33.072563,3.412244,688.625366,2.724849,25.335033,572.203003,8.9989,91.9362,5781,4.43068,1.02852,11/14/2019 17:07,3/25/2020 12:00
524,1452.01,1452,420112589,420112589,1,,19h20m41.75s,290.173974,+73d11m42.39s,73.195108,7.83,-73.913,2458691.524,11.064093,1.626759,3778.802002,1.830797,2.021991,304.133698,12.295,30.5212,3248,4.95407,0.275364,11/14/2019 17:07,6/4/2020 12:00
525,1453.01,1453,198390247,198390247,1,,17h12m53.58s,258.22327,+57d11m52s,57.197778,-71.005,-0.024,2458683.809,6.58868,1.832,930,2.24848,51.0463,744,10.1426,78.7415,4920,4.64,0.71,11/14/2019 17:11,6/18/2020 12:00
526,1453.02,1453,198390247,198390247,2,,17h12m53.58s,258.22327,+57d11m52s,57.197778,-71.005,-0.024,2458685.482,4.313222,1.411246,294.375465,1.211208,113.010872,831.571901,10.1426,78.7415,4920,4.6445,0.70962,2/21/2020 21:35,6/18/2020 12:00
527,1454.01,1454,294179385,294179385,1,,20h03m22.15s,300.842307,+53d17m39.05s,53.294181,7.356,-13.367,2458685.47,2.67962,2.858,13260,13.5774,914.995,1532,11.1612,289.372,6075,4.38,1.14,11/18/2019 17:30,5/20/2020 16:00
528,1455.01,1455,387259626,387259626,1,FP,20h34m40.87s,308.670288,+66d26m25.38s,66.440384,33.7,20.793,2458714.392,3.62339,2.586,16260.7002,18.942301,715.750977,1440,10.1543,245.692,6458.799805,4.32,1.35,11/21/2019 21:07,3/4/2020 12:58
529,1456.01,1456,199376584,199376584,1,CP,20h26m57.87s,306.741134,+33d44m39.8s,33.744388,-36.869,-14.651,2458693.209,12.15601,5.943,3630,7.70067,216.217,1068,8.0417,80.6665,6125,4.29,1.27,11/21/2019 21:28,5/20/2020 16:00
