kepid,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,exoplanet
9837013,0,0,0,0,14.461834,0.00036,-0.00036,137.2566,0.0222,-0.0222,0.065,0.403,-0.065,7.1560000000000015,0.626,-0.626,80.2,11.2,-11.2,1.05,0.18,-0.21,785.0,89.86,39.81,-35.48,9.0,1.0,5457.0,81.0,-65.0,4.239,0.18600000000000005,-0.124,1.196,0.199,-0.243,294.29364,46.629501,14.75,1
9821428,0,0,0,0,299.70688,0.0351,-0.0351,360.3939,0.0494,-0.0494,0.1196,0.3187,-0.1196,15.39,2.7,-2.7,231.0,34.3,-34.3,1.15,0.38,-0.08,237.0,0.75,0.75,-0.16,8.6,1.0,5606.0,166.0,-141.0,4.597,0.029,-0.029,0.76,0.254,-0.053,287.02615,46.686291,14.713,0
9811915,0,0,0,0,1.96682825,2.15e-05,-2.15e-05,132.68632,0.008709999999999999,-0.008709999999999999,0.415,0.043,-0.411,1.645,0.258,-0.258,214.0,27.5,-27.5,1.18,0.24,-0.1,1283.0,638.54,405.44,-176.36,9.5,1.0,5595.0,175.0,-195.0,4.581,0.042,-0.136,0.7959999999999999,0.161,-0.069,281.22937,46.681862,15.612,0
9790965,0,0,0,0,4.74701479,3.79e-05,-3.79e-05,133.33305,0.00646,-0.00646,64.5159,32.2,-4.011,2.464,0.334,-0.334,3620.0,453.0,-453.0,13333.5,5170.0,-4790.0,1640.0,1708.72,1945.16,-1100.79,10.1,2.0,6531.0,173.0,-230.0,3.962,0.301,-0.301,1.921,0.745,-0.69,298.91162,46.586578,13.388,0
9693803,0,0,0,0,13.495949599999998,0.00026000000000000003,-0.00026000000000000003,142.1992,0.02,-0.02,0.2136,0.2748,-0.2133,2.085,0.358,-0.358,254.0,45.6,-45.6,1.62,0.73,-0.15,784.0,89.25,120.55,-26.11,7.3,1.0,5962.0,174.0,-220.0,4.464,0.047,-0.047,1.019,0.456,-0.095,283.11642,46.442699,15.669,0
9674320,0,0,0,0,317.0624160000001,0.00243,-0.00243,297.8371,0.0109,-0.0109,0.6729999999999999,0.269,-0.445,7.438,0.65,-0.65,443.0,43.8,-43.8,1.59,0.27,-0.12,218.0,0.54,0.29,-0.13,9.8,1.0,5366.0,160.0,-144.0,4.625,0.032,-0.104,0.715,0.122,-0.052000000000000005,300.34525,46.339882,14.634,0
9658089,0,0,0,0,1.057080807,5.84e-06,-5.84e-06,131.69304,0.0046700000000000005,-0.0046700000000000005,0.966,0.01,-0.693,1.82,0.139,-0.139,60.6,6.5,-6.5,0.97,0.32,-0.1,1805.0,2518.85,2452.48,-762.46,11.3,1.0,6000.0,167.0,-209.0,4.487,0.054000000000000006,-0.21600000000000005,0.946,0.312,-0.098,295.35825,46.343929,15.102,0
9651602,0,0,0,0,3.90735046,6.13e-05,-6.13e-05,133.7385,0.013000000000000001,-0.013000000000000001,0.08800000000000001,0.375,-0.08800000000000001,2.8960000000000004,0.408,-0.408,109.0,14.1,-14.1,0.83,0.16,-0.06,1007.0,243.14,138.15,-60.96,10.0,1.0,5497.0,147.0,-164.0,4.577,0.032,-0.136,0.809,0.152,-0.065,292.82965,46.365768,15.283,0
9640123,0,0,0,0,8.2553499,0.000136,-0.000136,135.17,0.0177,-0.0177,0.918,0.026,-0.6509999999999999,3.959,0.445,-0.445,54.5,6.6,-6.6,3.28,0.54,-1.25,1462.0,1079.27,478.08,-689.77,10.0,1.0,5403.0,86.0,-75.0,3.559,0.29600000000000004,-0.111,3.6,0.59,-1.376,287.51071,46.38995,13.816,1
9639106,0,0,0,0,3.57944367,4.34e-05,-4.34e-05,133.46198,0.007559999999999998,-0.007559999999999998,0.3976,0.0398,-0.3976,1.869,0.335,-0.335,117.0,19.6,-19.6,0.87,0.29,-0.07,1018.0,253.89,265.12,-63.15,8.5,1.0,5341.0,182.0,-143.0,4.546,0.041,-0.041,0.8009999999999999,0.27,-0.068,286.8581200000001,46.311729,15.56,0
9635520,0,0,0,0,2.3518268,0.000768,-0.000768,134.352,0.47,-0.47,1.23,4.198,-0.112,5.7970000000000015,0.29100000000000004,-0.29100000000000004,577.0,28.0,-28.0,39.82,8.72,-13.1,1535.0,1313.37,798.56,-758.75,24.5,1.0,5445.0,109.0,-87.0,4.14,0.322,-0.138,1.426,0.312,-0.469,284.69968,46.375092,14.106,0
9596892,0,0,0,0,20.2944118,0.000127,-0.000127,148.08553999999995,0.00481,-0.00481,8.7053,43.81,-7.79,0.35700000000000004,0.316,-0.316,454.0,97.1,-97.1,774.73,288.0,-65.8,648.0,41.69,46.05,-11.24,5.6,1.0,5865.0,167.0,-197.0,4.518,0.034,-0.034,0.918,0.341,-0.078,295.25565,46.2164,15.919,0
9596064,0,0,0,0,1.74145041,4.48e-05,-4.48e-05,132.0107,0.031,-0.031,0.33,0.119,-0.33,1.712,0.18,-0.18,371.0,39.9,-39.9,1.46,0.22,-0.12,1234.0,547.5,278.89,-151.41,10.9,1.0,5238.0,184.0,-184.0,4.598,0.032,-0.097,0.764,0.112,-0.066,294.95062,46.242149,16.269000000000002,0
9588862,0,0,0,0,5.89773974,6.69e-05,-6.69e-05,133.42423,0.00806,-0.00806,0.1566,0.3011,-0.1566,2.2430000000000003,0.262,-0.262,77.9,12.4,-12.4,1.0,0.52,-0.11,1150.0,414.11,647.92,-130.24,8.1,1.0,6300.0,160.0,-211.0,4.371,0.079,-0.079,1.126,0.589,-0.128,292.15543,46.204529,14.742,1
9513168,0,0,0,0,6.853888,0.000393,-0.000393,136.5231,0.0732,-0.0732,0.469,0.501,-0.263,2.5610000000000004,0.313,-0.313,654.0,96.0,-96.0,1.74,0.06,-0.14,613.0,33.32,7.5,-9.22,8.2,1.0,4199.0,146.0,-161.0,4.609,0.046,-0.018000000000000002,0.684,0.023,-0.055,284.95761,46.14381,16.538,0
9490342,0,0,0,0,487.83894,0.0675,-0.0675,606.1226,0.0192,-0.0192,0.1252,0.3226,-0.1252,32.77,1.5,-1.5,453.0,42.6,-42.6,3.94,2.55,-1.93,298.0,1.88,3.96,-1.46,8.8,1.0,5421.0,189.0,-179.0,3.882,0.539,-0.539,1.877,1.215,-0.922,300.13855,46.061691,13.728,0
